business_id,name,photos
_MNAGLsoe_vihaXk6tpffw,Le Bistrot d'Henri,"['https://s3-media4.fl.yelpcdn.com/bphoto/mP9OGP36IGa3R5hCYf81ZA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/gC_oeAnB62m_mr48sQKSgQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/QIuhhyXJSsJM_V_YeBUdtw/o.jpg']"
2JpBWCr2q4934qvRK9WTEw,Carpe Diem Café,"['https://s3-media4.fl.yelpcdn.com/bphoto/bx6gLZePnyJ8Z5aOXUizRw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/X5btIlnmNbPYlykQ_sQeaQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/I_PJH4lOoI0St61ZMgoAAA/o.jpg']"
36bmPjOYLp6-Ql_IEiSQUw,Sacré Frenchy !,"['https://s3-media2.fl.yelpcdn.com/bphoto/sBgb7E6wRmNgMNS6nFguzA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/c5A1OI4W3bXlkFswYhImUg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/bQH-iFe61p9HhghbpWv6UQ/o.jpg']"
RcODJWKhY2jJGNoXK8e9xQ,Au Père Louis,"['https://s3-media1.fl.yelpcdn.com/bphoto/5fPuQTkmd6tfbKRtclLXWw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/_6oi1t8MIr8upSD73qyBsA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/VCeys5uo2NbK_ubgKWY7dA/o.jpg']"
-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,"['https://s3-media2.fl.yelpcdn.com/bphoto/Je6THJBI0U0b1N47INfaKQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Y0D70Mjn25o7lPMwqLhYHg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/HetBW7WV0-esELYiXv8erg/o.jpg']"
IU9_wVOGBKjfqTTpAXpKcQ,Bistro des Augustins,"['https://s3-media1.fl.yelpcdn.com/bphoto/hPCZTbuWGgjBvMsB2unxWg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Y5fZV7nTccxCc6cVfPTmOg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/lbhWbWu3Fh5daw97BY7IhQ/o.jpg']"
cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,"['https://s3-media3.fl.yelpcdn.com/bphoto/mVwgxgmpUcAUOZKdxypwSw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/XA5QGIXu9meiAWWNPTR6OA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/azxglNBbUKqPl0GDE4GzNw/o.jpg']"
KggnM_Z4wOa_JExunaaWHg,Le Temps des Cerises,"['https://s3-media1.fl.yelpcdn.com/bphoto/g3AabbeUo_jMvM2jjSH1XQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/Fd0Ozov1K_j3I1_MCozWNQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/Eo8fY74N450HUL6pn4Qk0g/o.jpg']"
-umFmobUgpW_05m_ud1vHw,La Cordonnerie,"['https://s3-media2.fl.yelpcdn.com/bphoto/X1Se23PBPKPppASL4Se76A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/trA_uxYyTp933aoQfljtPg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/cJOWZS00qk1oAwztzouv2Q/o.jpg']"
WHHt_Jb8Tgidn9mW7oDnIg,La Coïncidence,"['https://s3-media1.fl.yelpcdn.com/bphoto/QdrAgEgbd5TLlqZYT_dezg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/R3WTup6dnY7KVD66QiSjww/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/gZ7bzdfWnZcgiFaFF9dUTA/o.jpg']"
FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,"['https://s3-media3.fl.yelpcdn.com/bphoto/QMNELSZ6-LzA9kLP3zQPgw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/xtLO-XECAC91V5ewNjLmbQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/xIxo5aY5-vpmnfSXUYQBUg/o.jpg']"
